store_id,item_id,wm_yr_wk,sell_price
CA_1,FOODS_2_019,11101,2.98
CA_1,FOODS_2_019,11102,2.98
CA_1,FOODS_2_019,11103,2.98
CA_1,FOODS_2_019,11104,2.98
CA_1,FOODS_2_019,11105,2.98
CA_1,FOODS_2_019,11106,2.98
CA_1,FOODS_2_019,11107,2.98
CA_1,FOODS_2_019,11108,2.98
CA_1,FOODS_2_019,11109,2.98
CA_1,FOODS_2_019,11110,2.98
CA_1,FOODS_2_019,11111,2.98
CA_1,FOODS_2_019,11112,2.98
CA_1,FOODS_2_019,11113,2.98
CA_1,FOODS_2_019,11114,2.98
CA_1,FOODS_2_019,11115,2.98
CA_1,FOODS_2_019,11116,2.98
CA_1,FOODS_2_019,11117,2.98
CA_1,FOODS_2_019,11118,2.98
CA_1,FOODS_2_019,11119,2.98
CA_1,FOODS_2_019,11120,2.98
CA_1,FOODS_2_019,11121,2.98
CA_1,FOODS_2_019,11122,2.98
CA_1,FOODS_2_019,11123,2.98
CA_1,FOODS_2_019,11124,2.98
CA_1,FOODS_2_019,11125,2.98
CA_1,FOODS_2_019,11126,2.98
CA_1,FOODS_2_019,11127,2.98
CA_1,FOODS_2_019,11128,2.98
CA_1,FOODS_2_019,11129,2.98
CA_1,FOODS_2_019,11130,2.98
CA_1,FOODS_2_019,11131,2.98
CA_1,FOODS_2_019,11132,2.98
CA_1,FOODS_2_019,11133,2.98
CA_1,FOODS_2_019,11134,2.98
CA_1,FOODS_2_019,11135,2.98
CA_1,FOODS_2_019,11136,2.98
CA_1,FOODS_2_019,11137,2.98
CA_1,FOODS_2_019,11138,2.98
CA_1,FOODS_2_019,11139,2.98
CA_1,FOODS_2_019,11140,2.98
CA_1,FOODS_2_019,11141,2.98
CA_1,FOODS_2_019,11142,2.98
CA_1,FOODS_2_019,11143,2.98
CA_1,FOODS_2_019,11144,2.98
CA_1,FOODS_2_019,11145,2.98
CA_1,FOODS_2_019,11146,2.98
CA_1,FOODS_2_019,11147,2.98
CA_1,FOODS_2_019,11148,2.98
CA_1,FOODS_2_019,11149,2.98
CA_1,FOODS_2_019,11150,2.98
CA_1,FOODS_2_019,11151,2.98
CA_1,FOODS_2_019,11152,2.98
CA_1,FOODS_2_019,11201,2.98
CA_1,FOODS_2_019,11202,2.98
CA_1,FOODS_2_019,11203,2.98
CA_1,FOODS_2_019,11204,2.98
CA_1,FOODS_2_019,11205,2.98
CA_1,FOODS_2_019,11206,2.98
CA_1,FOODS_2_019,11207,2.98
CA_1,FOODS_2_019,11208,2.98
CA_1,FOODS_2_019,11209,2.98
CA_1,FOODS_2_019,11210,2.98
CA_1,FOODS_2_019,11211,2.98
CA_1,FOODS_2_019,11212,2.98
CA_1,FOODS_2_019,11213,2.98
CA_1,FOODS_2_019,11214,2.98
CA_1,FOODS_2_019,11215,2.98
CA_1,FOODS_2_019,11216,2.98
CA_1,FOODS_2_019,11217,2.98
CA_1,FOODS_2_019,11218,2.98
CA_1,FOODS_2_019,11219,2.98
CA_1,FOODS_2_019,11220,2.98
CA_1,FOODS_2_019,11221,2.98
CA_1,FOODS_2_019,11222,2.98
CA_1,FOODS_2_019,11223,2.98
CA_1,FOODS_2_019,11224,3.28
CA_1,FOODS_2_019,11225,3.28
CA_1,FOODS_2_019,11226,3.28
CA_1,FOODS_2_019,11227,3.28
CA_1,FOODS_2_019,11228,3.28
CA_1,FOODS_2_019,11229,3.28
CA_1,FOODS_2_019,11230,3.28
CA_1,FOODS_2_019,11231,3.28
CA_1,FOODS_2_019,11232,3.28
CA_1,FOODS_2_019,11233,3.28
CA_1,FOODS_2_019,11234,3.28
